ID,登録施設名,住所,方書,緯度,経度,業種,施設電話番号,提供内容,提供内容備考,提供時間,定休日,写真1,写真2,写真3,写真4,写真5,写真6,写真7,写真8,写真9,写真10,写真11,写真12,写真13
0000001,焼津市役所　本庁舎,静岡県焼津市本町二丁目16番32号,,34.867212,138.322861,公共施設,(054)626-1139,おむつ替え・授乳,,8:30～17:15,土日祝、年末年始,https://openphoto.app/c/yaizu/photo/8707,https://openphoto.app/c/yaizu/photo/8708,https://openphoto.app/c/yaizu/photo/8709,https://openphoto.app/c/yaizu/photo/8710,https://openphoto.app/c/yaizu/photo/8711,https://openphoto.app/c/yaizu/photo/8712,https://openphoto.app/c/yaizu/photo/8713,https://openphoto.app/c/yaizu/photo/8714,https://openphoto.app/c/yaizu/photo/8715,https://openphoto.app/c/yaizu/photo/8716,https://openphoto.app/c/yaizu/photo/8717,https://openphoto.app/c/yaizu/photo/8718,https://openphoto.app/c/yaizu/photo/8719
0000002,焼津市総合福祉会館,静岡県焼津市大覚寺3丁目2-2,,34.876026,138.304618,公共施設,(054)621-2941,おむつ替え・授乳,,9:00～21:30,毎月第3日曜日及び祝日・年末年始（12/29～1/3）,https://openphoto.app/c/yaizu/photo/8720,https://openphoto.app/c/yaizu/photo/8721,https://openphoto.app/c/yaizu/photo/8722,https://openphoto.app/c/yaizu/photo/8723,https://openphoto.app/c/yaizu/photo/8724,https://openphoto.app/c/yaizu/photo/8725,,,,,,,
0000003,親子ふれあい広場,静岡県焼津市本町5丁目6番1号,焼津市役所アトレ庁舎1階,34.863094,138.320351,公共施設,(054)626-1137,おむつ替え・授乳,,9:00～17:00,火曜日、年末年始,https://openphoto.app/c/yaizu/photo/8726,https://openphoto.app/c/yaizu/photo/8727,https://openphoto.app/c/yaizu/photo/8728,https://openphoto.app/c/yaizu/photo/8729,,,,,,,,,
0000004,子育てサポートルーム（つどいの広場）,静岡県焼津市大覚寺3丁目2-2,総合福祉会館2階,34.875693,138.304439,公共施設,(054)627-2999,おむつ替え・授乳,,9:00～12:00、13:00～17:00,日曜日、祝日、年末年始,https://openphoto.app/c/yaizu/photo/8730,https://openphoto.app/c/yaizu/photo/8731,https://openphoto.app/c/yaizu/photo/8732,https://openphoto.app/c/yaizu/photo/8733,,,,,,,,,
0000005,大井川児童センターとまとぴあ,静岡県焼津市宗高1205-1,,34.807902,138.287376,公共施設,(054)662-1300,おむつ替え・授乳,,9:00～17:00,月曜日、第3日曜日、年末年始（月・第3日曜が祝日の場合は翌日休）,https://openphoto.app/c/yaizu/photo/8734,https://openphoto.app/c/yaizu/photo/8735,https://openphoto.app/c/yaizu/photo/8736,https://openphoto.app/c/yaizu/photo/8737,https://openphoto.app/c/yaizu/photo/8738,,,,,,,,
0000006,焼津文化会館,静岡県焼津市三ケ名1550,,34.86467,138.305589,公共施設,(054)627-3111,おむつ替え,,9:00～17:15,月曜日（月曜日が祝日の場合は、翌平日）,https://openphoto.app/c/yaizu/photo/8739,https://openphoto.app/c/yaizu/photo/8740,https://openphoto.app/c/yaizu/photo/8741,https://openphoto.app/c/yaizu/photo/8742,,,,,,,,,
0000007,ディスカバリーパーク焼津天文科学館,静岡県焼津市田尻2968-1,,34.822784,138.331594,公共施設,(054)625-0800,おむつ替え・授乳,,平日9:00～17:00　土日祝10:00～19:00,月曜日（月曜日が祝日の場合は、翌平日）,https://openphoto.app/c/yaizu/photo/8743,https://openphoto.app/c/yaizu/photo/8744,https://openphoto.app/c/yaizu/photo/8745,https://openphoto.app/c/yaizu/photo/8746,https://openphoto.app/c/yaizu/photo/8747,https://openphoto.app/c/yaizu/photo/8748,https://openphoto.app/c/yaizu/photo/8749,,,,,,
0000008,小川地域交流センター　ふれあいホール,静岡県焼津市小川2724-1,,34.848976,138.313111,公共施設,(054)624-8191,おむつ替え・授乳,,9:00～17:15,月曜日、年末年始,https://openphoto.app/c/yaizu/photo/8750,https://openphoto.app/c/yaizu/photo/8751,https://openphoto.app/c/yaizu/photo/8752,,,,,,,,,,
0000009,和田地域交流センター「わかしお」,静岡県焼津市田尻1992-2,,34.827239,138.321028,公共施設,(054)623-1570,おむつ替え・授乳,,9:00～17:15,月曜日、年末年始,https://openphoto.app/c/yaizu/photo/8753,https://openphoto.app/c/yaizu/photo/8754,https://openphoto.app/c/yaizu/photo/8755,https://openphoto.app/c/yaizu/photo/8756,https://openphoto.app/c/yaizu/photo/8757,https://openphoto.app/c/yaizu/photo/8758,,,,,,,
0000010,大村地域交流センター,静岡県焼津市大覚寺三丁目5-5,,34.874128,138.300784,公共施設,(054)629-3351,おむつ替え・授乳,,9:00～17:15,月曜日、年末年始,https://openphoto.app/c/yaizu/photo/8759,https://openphoto.app/c/yaizu/photo/8760,https://openphoto.app/c/yaizu/photo/8761,https://openphoto.app/c/yaizu/photo/8762,,,,,,,,,
0000011,大富地域交流センター,静岡県焼津市中根新田93-1,,34.838301,138.298248,公共施設,(054)624-4302,おむつ替え・授乳,,9:00～17:15,月曜日、年末年始,https://openphoto.app/c/yaizu/photo/8763,https://openphoto.app/c/yaizu/photo/8764,https://openphoto.app/c/yaizu/photo/8765,https://openphoto.app/c/yaizu/photo/8766,https://openphoto.app/c/yaizu/photo/8767,,,,,,,,
0000012,東益津地域交流センター,静岡県焼津市石脇上65,,34.886457,138.319812,公共施設,(054)628-2607,おむつ替え・授乳,,9:00～17:00,月曜日、年末年始,https://openphoto.app/c/yaizu/photo/8768,https://openphoto.app/c/yaizu/photo/8769,https://openphoto.app/c/yaizu/photo/8770,,,,,,,,,,
0000013,大井川地域交流センター,静岡県焼津市宗高900,,34.803503,138.284067,公共施設,(054)622-3111,おむつ替え・授乳,部屋の利用者がいない場合に限る,9:00～17:15,月曜日、年末年始,https://openphoto.app/c/yaizu/photo/8771,https://openphoto.app/c/yaizu/photo/8772,https://openphoto.app/c/yaizu/photo/8773,,,,,,,,,,
0000014,焼津市立焼津図書館,静岡県焼津市三ケ名1550,,34.864682,138.30623,公共施設,(054)628-2334,おむつ替え・授乳,,火～金9:00～19:00　土日祝9:00～17:00,月曜日、第4金曜日,https://openphoto.app/c/yaizu/photo/8774,https://openphoto.app/c/yaizu/photo/8775,https://openphoto.app/c/yaizu/photo/8776,https://openphoto.app/c/yaizu/photo/8777,https://openphoto.app/c/yaizu/photo/8778,https://openphoto.app/c/yaizu/photo/8779,,,,,,,
0000015,焼津市保健センター,静岡県焼津市東小川1丁目8-1,,34.859966,138.313295,公共施設,(054)627-4111,おむつ替え・授乳,,8:30～17:15,土日祝日、年末年始,https://openphoto.app/c/yaizu/photo/8780,https://openphoto.app/c/yaizu/photo/8781,https://openphoto.app/c/yaizu/photo/8782,,,,,,,,,,
0000016,子育て支援センター　みなみ,静岡県焼津市焼津5丁目13-14,,34.861867,138.316464,子育て支援センター,(054)293-7474,おむつ替え・授乳,,9:30～12:00、13:00～15:30,土日祝日、年末年始、夏季休暇,https://openphoto.app/c/yaizu/photo/8783,https://openphoto.app/c/yaizu/photo/8784,https://openphoto.app/c/yaizu/photo/8785,,,,,,,,,,
0000017,スープ屋Hygge,静岡県焼津市西小川5-20-10,,34.859758,138.30565,飲食店,(054)628-9846,おむつ替え・授乳,,11:00～19:00,日曜日～火曜日,https://openphoto.app/c/yaizu/photo/8786,https://openphoto.app/c/yaizu/photo/8787,https://openphoto.app/c/yaizu/photo/8788,https://openphoto.app/c/yaizu/photo/8789,https://openphoto.app/c/yaizu/photo/8790,https://openphoto.app/c/yaizu/photo/8791,https://openphoto.app/c/yaizu/photo/8792,,,,,,
0000018,子育て支援センター　さくら,静岡県焼津市北新田378-1,,34.83352,138.322275,子育て支援センター,(054)656-0676,おむつ替え・授乳,,9:30～16:00,土日祝日,https://openphoto.app/c/yaizu/photo/8793,https://openphoto.app/c/yaizu/photo/8794,https://openphoto.app/c/yaizu/photo/8795,,,,,,,,,,
0000019,そば屋案山棒,静岡県焼津市大住99,,34.850978,138.287539,飲食店,(054)627-7222,おむつ替え・授乳,,7:00～9:00、11:30～14:30,月曜日・火曜日,https://openphoto.app/c/yaizu/photo/8796,https://openphoto.app/c/yaizu/photo/8797,,,,,,,,,,,
0000020,子育て支援センター　１・２・３,静岡県焼津市一色722,,34.830908,138.311369,子育て支援センター,(054)623-1551,おむつ替え・授乳,,9：00～11：30、13：00～15：30,土日祝日,,,,,,,,,,,,,
0000021,株式会社　あんしんりふぉーむ,静岡県焼津市西小川2丁目10-1,,34.860638,138.30935,住宅総合リフォーム,(054)631-4111,おむつ替え・授乳,,10:00～17:00,月曜日（その他社内カレンダーによる）,,,,,,,,,,,,,
0000022,焼津市総合体育館,静岡県焼津市保福島1050,,34.863666,138.281143,公共施設,(054)628-5740,おむつ替え・授乳,,8:30～21:00,月曜日,https://openphoto.app/c/yaizu/photo/8798,https://openphoto.app/c/yaizu/photo/8799,https://openphoto.app/c/yaizu/photo/8800,,,,,,,,,,
0000023,上行寺,静岡県焼津市焼津4-6-8,,34.861629,138.314071,宗教法人,(054)628-2448,おむつ替え・授乳,,9：00～18：00,なし（ただし、法事及び行事の日は使用不可）,https://openphoto.app/c/yaizu/photo/8801,https://openphoto.app/c/yaizu/photo/8802,https://openphoto.app/c/yaizu/photo/8803,,,,,,,,,,
0000024,焼津グランドホテル,静岡県焼津市浜当目1489,,34.883335,138.337066,ホテル,(054)627-1121,おむつ替え・授乳,,10:00～15:00,2020年2月4日（火）～７日（金）,,,,,,,,,,,,,
0000025,焼津さかなセンター,静岡県焼津市八楠4丁目13番の7,,34.880071,138.303145,小売・サービス業,(054)628-1137,おむつ替え・授乳,,9:00～17:00,1月1日、他設備点検による臨時休業日あり,https://openphoto.app/c/yaizu/photo/8804,https://openphoto.app/c/yaizu/photo/8805,https://openphoto.app/c/yaizu/photo/8806,https://openphoto.app/c/yaizu/photo/8807,https://openphoto.app/c/yaizu/photo/8808,https://openphoto.app/c/yaizu/photo/8809,https://openphoto.app/c/yaizu/photo/8810,https://openphoto.app/c/yaizu/photo/8811,https://openphoto.app/c/yaizu/photo/8812,https://openphoto.app/c/yaizu/photo/8813,https://openphoto.app/c/yaizu/photo/8814,,
0000026,ピアゴ大覚寺店,静岡県焼津市大覚寺2丁目27番地の15,,34.875755,138.298729,小売業,(054)621-1811,おむつ替え・授乳,,9:00～21:00,なし（ただし、棚卸しのため臨時休業年２回あり）,https://openphoto.app/c/yaizu/photo/8815,https://openphoto.app/c/yaizu/photo/8816,https://openphoto.app/c/yaizu/photo/8817,https://openphoto.app/c/yaizu/photo/8818,https://openphoto.app/c/yaizu/photo/8819,,,,,,,,
0000027,焼津市役所　大井川庁舎,静岡県焼津市宗高900番地,,34.803763,138.284405,公共施設,(054)662-0519,おむつ替え・授乳,,8:30～17:15,土日祝日、年末年始,https://openphoto.app/c/yaizu/photo/8820,https://openphoto.app/c/yaizu/photo/8821,https://openphoto.app/c/yaizu/photo/8822,https://openphoto.app/c/yaizu/photo/8823,https://openphoto.app/c/yaizu/photo/8824,,,,,,,,
0000028,株式会社焼津ホーエー家電,静岡県焼津市東小川5丁目11-14,,34.855944,138.309845,家庭電化製品販売,(054)627-5101,おむつ替え・授乳,,10:00～12:00、13:00～17:00,1月1日,https://openphoto.app/c/yaizu/photo/8825,https://openphoto.app/c/yaizu/photo/8826,https://openphoto.app/c/yaizu/photo/8827,https://openphoto.app/c/yaizu/photo/8828,https://openphoto.app/c/yaizu/photo/8829,https://openphoto.app/c/yaizu/photo/8830,,,,,,,
0000029,ターントクルこども館,静岡県焼津市栄町5-1-1,,34.868472,138.320847,公共施設,(054)631-6165,おむつ替え・授乳,,9:00～19:00,水曜日（祝日の場合は翌平日）、年末年始,https://openphoto.app/c/yaizu/photo/8831,https://openphoto.app/c/yaizu/photo/8832,https://openphoto.app/c/yaizu/photo/8833,https://openphoto.app/c/yaizu/photo/8834,https://openphoto.app/c/yaizu/photo/8835,https://openphoto.app/c/yaizu/photo/8836,https://openphoto.app/c/yaizu/photo/8837,,,,,,
0000030,藤接骨院　焼津小川院,静岡県焼津市西小川8丁目1-7,,34.84997,138.308083,接骨院,(054)639-7772,おむつ替え・授乳,,9:00～20:00,土曜午後、日曜日、祝日,,,,,,,,,,,,,
0000031,焼津市大井川福祉センター,静岡県焼津市宗高572-1,,34.803182,138.290651,公共施設,(054)662-0610,おむつ替え,,9:00～21:30,毎月第3日曜日及び祝日・年末年始（12/29～1/3）,https://openphoto.app/c/yaizu/photo/8838,https://openphoto.app/c/yaizu/photo/8839,https://openphoto.app/c/yaizu/photo/8840,https://openphoto.app/c/yaizu/photo/8841,https://openphoto.app/c/yaizu/photo/8842,https://openphoto.app/c/yaizu/photo/8843,,,,,,,
0000032,大井川文化会館,静岡県焼津市宗高888,,34.803106,138.283518,公共施設,(054)662-8811,おむつ替え,,9:00～17:15,月曜日（月曜日が祝日の場合は、翌平日）,https://openphoto.app/c/yaizu/photo/8844,https://openphoto.app/c/yaizu/photo/8845,https://openphoto.app/c/yaizu/photo/8846,https://openphoto.app/c/yaizu/photo/8847,https://openphoto.app/c/yaizu/photo/8848,https://openphoto.app/c/yaizu/photo/8849,,,,,,,
0000033,焼津地域交流センター,静岡県焼津市本町5丁目6番1号,,34.863079,138.320423,公共施設,(054)626-0888,おむつ替え,,9:00～21:30,年末年始,https://openphoto.app/c/yaizu/photo/8850,https://openphoto.app/c/yaizu/photo/8851,https://openphoto.app/c/yaizu/photo/8852,,,,,,,,,,
0000034,焼津市立大井川図書館,静岡県焼津市宗高909-1,,34.804264,138.285479,公共施設,(054)622-9000,おむつ替え,,火～金9:00～19:00　土日祝9:00～17:00,月曜日（祝休日の場合は、翌平日）,https://openphoto.app/c/yaizu/photo/8853,https://openphoto.app/c/yaizu/photo/8854,https://openphoto.app/c/yaizu/photo/8855,,,,,,,,,,
0000035,本多こども歯科,静岡県焼津市大栄町2-1-1,,34.872859,138.313291,歯科（小児専門）,(054)626-2323,おむつ替え,,診療時間内のみ（月・水・木・金）9:00～12:00、13:30～17:30（火）9:00～12:00（土）8:30～12:00,日曜日、祝日,,,,,,,,,,,,,
0000036,イケダ薬局,静岡県焼津市西小川2-10-21,,34.861029,138.308589,漢方薬局,(054)628-7656,おむつ替え,,（月～金）9:30～18:00（土）9:30～17:00,木曜日・日曜日・祝日,https://openphoto.app/c/yaizu/photo/8856,https://openphoto.app/c/yaizu/photo/8857,https://openphoto.app/c/yaizu/photo/8858,https://openphoto.app/c/yaizu/photo/8859,,,,,,,,,
0000037,自動車ディーラー,静岡県焼津市石津88,,34.843139,138.312211,小売業,,おむつ替え,,10:00～18:30,火曜日・水曜日,https://openphoto.app/c/yaizu/photo/8860,https://openphoto.app/c/yaizu/photo/8861,https://openphoto.app/c/yaizu/photo/8862,https://openphoto.app/c/yaizu/photo/8863,,,,,,,,,
0000038,深層水ミュージアム,静岡県焼津市鰯ケ島136-24,,34.858695,138.325839,公共施設,(054)620-5782,おむつ替え,,9:00～17:00,月曜（祝日の場合は翌日）、年末年始,https://openphoto.app/c/yaizu/photo/8864,,,,,,,,,,,,
0000039,アクアスやいづ,静岡県焼津市鰯ケ島136-26,,34.857096,138.326689,公共施設,(054)621-0200,おむつ替え,,9:00～22:00（曜日により異なる）,月曜日,https://openphoto.app/c/yaizu/photo/8865,,,,,,,,,,,,
0000040,うみえーる焼津,静岡県焼津市鰯ケ島136-26,,34.856667,138.326667,公共施設,(054)626-1551,おむつ替え,,8:00～21:00（曜日により異なる）,無し,https://openphoto.app/c/yaizu/photo/8866,https://openphoto.app/c/yaizu/photo/8867,,,,,,,,,,,
0000041,株式会社田子重　　小川店,静岡県焼津市小川新町1丁目13-2,,34.85832,138.32222,スーパーマーケット,(054)629-4635,おむつ替え,,9:00～21:00,無休（正月除く）,https://openphoto.app/c/yaizu/photo/8868,https://openphoto.app/c/yaizu/photo/8869,https://openphoto.app/c/yaizu/photo/8870,,,,,,,,,,
0000042,株式会社田子重　　田尻店,静岡県焼津市田尻421,,34.831616,138.319026,スーパーマーケット,(054)624-3213,おむつ替え,,9:00～22:30,無休（正月除く）,https://openphoto.app/c/yaizu/photo/8871,https://openphoto.app/c/yaizu/photo/8872,https://openphoto.app/c/yaizu/photo/8873,,,,,,,,,,
0000043,株式会社田子重　　登呂田店,静岡県焼津市東小川2丁目16-14,,34.858492,138.31241,スーパーマーケット,(054)629-2166,おむつ替え,,9:00～24:00,無休（正月除く）,https://openphoto.app/c/yaizu/photo/8874,https://openphoto.app/c/yaizu/photo/8875,https://openphoto.app/c/yaizu/photo/8876,,,,,,,,,,
0000044,株式会社田子重　　西焼津店,静岡県焼津市小柳津531,,34.85301,138.28817,スーパーマーケット,(054)626-5522,おむつ替え,,9:00～24:00,無休（正月除く）,https://openphoto.app/c/yaizu/photo/8877,https://openphoto.app/c/yaizu/photo/8878,https://openphoto.app/c/yaizu/photo/8879,,,,,,,,,,
0000045,株式会社　丸一家具センター,静岡県焼津市焼津3丁目9-37,,34.863797,138.31084,家具、雑貨販売,(054)628-4101,おむつ替え,,（日～木）10:00～19:00（金、土）10:00～20:00,水曜日,https://openphoto.app/c/yaizu/photo/8880,https://openphoto.app/c/yaizu/photo/8881,https://openphoto.app/c/yaizu/photo/8882,,,,,,,,,,
0000046,富士屋　　焼津東名店,静岡県焼津市八楠4丁目9番地の8,,34.878945,138.304528,スーパーマーケット,(054)629-6171,おむつ替え,,9:00～22:00,1月1、2日,,,,,,,,,,,,,
0000047,株式会社セリア　西焼津店,静岡県焼津市小柳津499-1,,34.853696,138.286737,小売業,(054)631-6602,おむつ替え,,10:00～20:00,無休（正月除く）,https://openphoto.app/c/yaizu/photo/8883,https://openphoto.app/c/yaizu/photo/8884,https://openphoto.app/c/yaizu/photo/8885,,,,,,,,,,
0000048,杏林堂スーパードラッグストア　焼津与惣次店,静岡県焼津市与惣次197-1,,34.846012,138.311981,小売業,(054)656-1711,おむつ替え,,9:00～22:00,年中無休,https://openphoto.app/c/yaizu/photo/8886,https://openphoto.app/c/yaizu/photo/8887,https://openphoto.app/c/yaizu/photo/8888,,,,,,,,,,
0000049,雅正庵　焼津西小川店,静岡県焼津市西小川6丁目5-1,,34.854103,138.304275,販売、カフェ,(054)620-7800,おむつ替え,,10:00～19:00,1月1日,,,,,,,,,,,,,
0000050,ウエルシア焼津　下小田店,静岡県焼津市祢宜島572-1,,34.837831,138.312662,ドラッグストア,(054)656-1760,おむつ替え,,9:00～24:00,年中無休,,,,,,,,,,,,,
0000051,ウエルシア焼津　小柳津店,静岡県焼津市小柳津218-1,,34.853422,138.282939,ドラッグストア,(054)629-8814,おむつ替え,,9:00～24:00,年中無休,,,,,,,,,,,,,
0000052,ウエルシア焼津　三ケ名店,静岡県焼津市三ケ名794,,34.859703,138.299523,ドラッグストア,(054)620-7038,おむつ替え,,9:00～24:00,年中無休,,,,,,,,,,,,,
0000053,ウエルシア焼津　田尻北店,静岡県焼津市田尻北261,,34.832842,138.3256,ドラッグストア,(054)656-1188,おむつ替え,,9:00～24:00,年中無休,,,,,,,,,,,,,
0000054,ウエルシア焼津　新焼津店,静岡県焼津市焼津4-6-20,,34.861885,138.31391,薬局,(054)621-3788,おむつ替え,,（月・火・水・金）8:30～18:00（木）8:30～13:00（土）8:30～14:00,日曜日,,,,,,,,,,,,,
0000055,ウェルシア焼津　東小川店,静岡県焼津市東小川二丁目２番６号,,34.85693,138.317374,ドラッグストア,(054)621-5211,おむつ替え,,9:00～24:00,年中無休,,,,,,,,,,,,,
0000056,株式会社ノジマ　焼津店,静岡県焼津市西小川１丁目3-5,,34.859779,138.311708,家電量販店,(054)621-5361,おむつ替え,,10:00～20:00,年中無休,,,,,,,,,,,,,
0000057,石津浜公園,静岡県焼津市石津2420,,34.842104,138.334507,公共施設,(054)626-2165,おむつ替え,,終日,無し,https://openphoto.app/c/yaizu/photo/8889,https://openphoto.app/c/yaizu/photo/8890,https://openphoto.app/c/yaizu/photo/8891,,,,,,,,,,
0000058,松原公園,静岡県焼津市田尻北698,,34.835679,138.331487,公共施設,(054)626-2165,おむつ替え,,終日,無し,https://openphoto.app/c/yaizu/photo/8892,https://openphoto.app/c/yaizu/photo/8893,https://openphoto.app/c/yaizu/photo/8894,https://openphoto.app/c/yaizu/photo/8895,https://openphoto.app/c/yaizu/photo/8896,https://openphoto.app/c/yaizu/photo/8897,https://openphoto.app/c/yaizu/photo/8898,,,,,,
0000059,石津西公園,静岡県焼津市石津421-3,,34.842496,138.313751,公共施設,(054)626-2165,おむつ替え,,終日,無し,https://openphoto.app/c/yaizu/photo/8899,https://openphoto.app/c/yaizu/photo/8900,https://openphoto.app/c/yaizu/photo/8901,https://openphoto.app/c/yaizu/photo/8902,https://openphoto.app/c/yaizu/photo/8903,https://openphoto.app/c/yaizu/photo/8904,,,,,,,
0000060,小川公園,静岡県焼津市小川2718,,34.84933,138.313743,公共施設,(054)626-2165,おむつ替え,,終日,無し,https://openphoto.app/c/yaizu/photo/8905,https://openphoto.app/c/yaizu/photo/8906,https://openphoto.app/c/yaizu/photo/8907,,,,,,,,,,
0000061,中公園,静岡県焼津市駅北五丁目10,,34.876337,138.323855,公共施設,(054)626-2165,おむつ替え,,終日,無し,https://openphoto.app/c/yaizu/photo/8908,https://openphoto.app/c/yaizu/photo/8909,,,,,,,,,,,
0000062,河原富士見公園,静岡県焼津市中根新田1360,,34.828017,138.288685,公共施設,(054)626-2165,おむつ替え,,終日,無し,https://openphoto.app/c/yaizu/photo/8910,https://openphoto.app/c/yaizu/photo/8911,https://openphoto.app/c/yaizu/photo/8912,https://openphoto.app/c/yaizu/photo/8913,https://openphoto.app/c/yaizu/photo/8914,https://openphoto.app/c/yaizu/photo/8915,https://openphoto.app/c/yaizu/photo/8916,,,,,,
0000063,清見田公園,静岡県焼津市三ケ名1626,,34.865921,138.306271,公共施設,(054)626-2165,おむつ替え,,終日,無し,https://openphoto.app/c/yaizu/photo/8917,https://openphoto.app/c/yaizu/photo/8918,,,,,,,,,,,
0000064,大覚寺公園,静岡県焼津市大覚寺三丁目3番,,34.874939,138.303299,公共施設,(054)626-2165,おむつ替え,,終日,無し,https://openphoto.app/c/yaizu/photo/8919,https://openphoto.app/c/yaizu/photo/8920,https://openphoto.app/c/yaizu/photo/8921,https://openphoto.app/c/yaizu/photo/8922,https://openphoto.app/c/yaizu/photo/8923,,,,,,,,
0000065,親水広場ふぃしゅーな,静岡県焼津市鰯ケ島136-28,,34.857317,138.327635,公共施設,(054)628-3126,おむつ替え,,終日,年中無休,https://openphoto.app/c/yaizu/photo/8924,https://openphoto.app/c/yaizu/photo/8925,https://openphoto.app/c/yaizu/photo/8926,https://openphoto.app/c/yaizu/photo/8927,https://openphoto.app/c/yaizu/photo/8928,,,,,,,,
0000066,焼津市消防防災センター,静岡県焼津市石津728番地の2,,34.84308,138.309627,公共施設,(054)625-0128,おむつ替え,,8:30～17:15,無し,https://openphoto.app/c/yaizu/photo/8929,https://openphoto.app/c/yaizu/photo/8930,https://openphoto.app/c/yaizu/photo/8931,https://openphoto.app/c/yaizu/photo/8932,https://openphoto.app/c/yaizu/photo/8933,https://openphoto.app/c/yaizu/photo/8934,https://openphoto.app/c/yaizu/photo/8935,https://openphoto.app/c/yaizu/photo/8936,,,,,
0000067,ホテルアンビア松風閣,静岡県焼津市浜当目1541,,34.884474,138.337237,ホテル,(054)628-3131,おむつ替え,,24時間,年中無休,https://openphoto.app/c/yaizu/photo/8937,https://openphoto.app/c/yaizu/photo/8938,https://openphoto.app/c/yaizu/photo/8939,,,,,,,,,,
0000068,タイヤ館焼津,静岡県焼津市与惣次60街区５,,34.845927,138.312806,自動車用タイヤ及びカー用品販売取付,(054)624-7910,おむつ替え,,10:30～19:00,水曜日,https://openphoto.app/c/yaizu/photo/8940,https://openphoto.app/c/yaizu/photo/8941,,,,,,,,,,,
0000069,コミュニティーホスピタル　甲賀病院,静岡県焼津市大覚寺二丁目30番地の１,,34.875595,138.299901,医療,(054)628-5500,おむつ替え,,9:00～17:00,日曜日、祝日、年末年始,,,,,,,,,,,,,
