都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考
222127,0000000001,静岡県,焼津市,市役所本館,シヤクショホンカン,静岡県焼津市本町2-16-32,,34.866918,138.323171,２階正面入口,(054)626-1139,,,管財課,,,,,有,,
222127,0000000002,静岡県,焼津市,市役所本館,シヤクショホンカン,静岡県焼津市本町2-16-32,,34.866918,138.323171,４階管財課,(054)626-1139,,,管財課,,,,,有,,
222127,0000000003,静岡県,焼津市,アトレ庁舎,アトレチョウシャ,静岡県焼津市本町5-6-1,,34.863094,138.320351,１階フロア,(054)626-2171,,,土木管理課,,,,,有,,
222127,0000000004,静岡県,焼津市,消防防災センター,ショウボウボウサイセンター,静岡県焼津市石津728-2,,34.843061,138.309570,１階受付,(054)623-2554,,,地域防災課,,,,,有,,
222127,0000000005,静岡県,焼津市,総合福祉会館,ソウゴウフクシカイカン,静岡県焼津市大覚寺3-2-2,,34.875941,138.304625,１階正面入口,(054)627-2111,,,地域福祉課,,,,,有,,
222127,0000000006,静岡県,焼津市,アトレ庁舎,アトレチョウシャ,静岡県焼津市本町5-6-1,,34.863594,138.320851,１受付カウンター付近,(054)627-4111,,,健康づくり課,,,,,有,,
222127,0000000007,静岡県,焼津市,総合体育館,ソウゴウタイイクカン,静岡県焼津市保福島1050,,34.863392,138.281432,１階ロビー,(054)628-5740,,,スポーツ課,,,,,有,,
222127,0000000008,静岡県,焼津市,野球場,ヤキュウジョウ,静岡県焼津市保福島950-1,,34.864471,138.280055,１階医務室前,(054)628-5740,,,スポーツ課,,,,,有,,
222127,0000000009,静岡県,焼津市,陸上競技場,リクジョウキョウギジョウ,静岡県焼津市保福島950-2,,34.864207,138.278065,１階大会本部室入口,(054)628-5740,,,スポーツ課,,,,,有,,
222127,0000000010,静岡県,焼津市,市民体育館,シミンタイイクカン,静岡県焼津市焼津2-7-3,,34.864243,138.3109994,１階ロビー,(054)620-4301,,,スポーツ課,,,,,有,,
222127,0000000011,静岡県,焼津市,ﾃﾞｨｽｶﾊﾞﾘｰﾊﾟｰｸ焼津水夢館,ディスカバリーパークヤイヅスイムカン,静岡県焼津市田尻2968-1,,34.821132,138.330008,１階ロビー,(054)625-0801,,,スポーツ課,,,,,有,,
222127,0000000012,静岡県,焼津市,ﾃﾞｨｽｶﾊﾞﾘｰﾊﾟｰｸ焼津天文科学館,ディスカバリーパークヤイヅテンモンカガクカン,静岡県焼津市田尻2968-1,,34.822781,138.331608,１階ロビー,(054)625-0800,,,文化振興課,,,,,有,,
222127,0000000013,静岡県,焼津市,文化会館,ブンカカイカン,静岡県焼津市三ケ名1550,,34.864534,138.30517,１階事務室横,(054)627-3111,,,文化振興課,,,,,有,,
222127,0000000014,静岡県,焼津市,焼津地域交流センター,ヤイヅチイキコウリュウセンター,静岡県焼津市本町5-6-1,,34.863094,138.320351,３階事務室,(054)626-0888,,,スマイルライフ推進課,,,,,有,,
222127,0000000015,静岡県,焼津市,小川地域交流センター,コガワチイキコウリュウセンター,静岡県焼津市小川2724-1,,34.848955,138.313030,１階ロビー,(054)624-8191,,,スマイルライフ推進課,,,,,有,,
222127,0000000016,静岡県,焼津市,和田地域交流センター,ワダチイキコウリュウセンター,静岡県焼津市田尻1992-2,,34.827262,138.321004,１階入口,(054)623-1570,,,スマイルライフ推進課,,,,,有,,
222127,0000000017,静岡県,焼津市,豊田地域交流センター,トヨダチイキコウリュウセンター,静岡県焼津市小屋敷258-1,,34.863242,138.289353,１階大会議室入口,(054)627-7310,,,スマイルライフ推進課,,,,,有,,
222127,0000000018,静岡県,焼津市,東益津地域交流センター,ヒガシマシヅチイキコウリュウセンター,静岡県焼津市石脇上65,,34.886574,138.320079,１階入口,(054)628-2607,,,スマイルライフ推進課,,,,,有,,
222127,0000000019,静岡県,焼津市,大富地域交流センター,オオトミチイキコウリュウセンター,静岡県焼津市中根新田93-1,,34.838281,138.298125,１階ロビー,(054)624-4302,,,スマイルライフ推進課,,,,,有,,
222127,0000000020,静岡県,焼津市,港地域交流センター,ミナトチイキコウリュウセンター,静岡県焼津市石津港町40-1,,34.841163,138.326231,１階ロビー,(054)624-8855,,,スマイルライフ推進課,,,,,有,,
222127,0000000021,静岡県,焼津市,大村地域交流センター,オオムラチイキコウリュウセンター,静岡県焼津市大覚寺3-5-5,,34.87412,138.300694,１階ロビー,(054)629-3351,,,スマイルライフ推進課,,,,,有,,
222127,0000000022,静岡県,焼津市,大井川地域交流センター,オオイガワチイキコウリュウセンター,静岡県焼津市宗高900,,34.803508,138.284117,１階事務室,(054)622-3111,,,スマイルライフ推進課,,,,,有,,
222127,0000000023,静岡県,焼津市,サンライフ焼津,サンライフヤイヅ,静岡県焼津市中港3-3-12,,34.87382,138.325179,１階入口,(054)627-3377,,,商工課,,,,,有,,
222127,0000000024,静岡県,焼津市,汐入下水処理場,シオイリゲスイショリジョウ,静岡県焼津市小川3808,,34.853035,138.323622,管理棟１階入口,(054)629-4000,,,下水道課,,,,,有,,
222127,0000000025,静岡県,焼津市,うみえ～る焼津,ウミエールヤイヅ,静岡県焼津市鰯ケ島136-26,,34.856638,138.326714,１階ロビー,(054)626-1551,,,漁港振興課,,,,,有,,
222127,0000000026,静岡県,焼津市,給食センター,キュウショクセンター,静岡県焼津市大島1746,,34.8209,138.302756,１階事務室前,(054)624-6660,,,学校給食課,,,,,有,,
222127,0000000027,静岡県,焼津市,大井川体育館,オオイガワタイイクカン,静岡県焼津市中島1183,,34.796716,138.272562,アリーナ入口,(054)622-5236,,,スポーツ課,,,,,有,,
222127,0000000028,静岡県,焼津市,大井川河川敷運動公園管理棟,オオイガワカセンジキウンドウコウエンカンリトウ,静岡県焼津市西島538,,34.795913,138.266456,１階ロビー,(054)664-1234,,,スポーツ課,,,,,有,,
222127,0000000029,静岡県,焼津市,大井川庁舎,オオイガワチョウシャ,静岡県焼津市宗高900,,34.803777,138.284440,１階ロビー,(054)662-0548,,,大井川市民サービスセンター,,,,,有,,
222127,0000000030,静岡県,焼津市,大井川図書館,オオイガワトショカン,静岡県焼津市宗高909-1,,34.804156,138.285409,１階貸出カウンター内,(054)622-9000,,,図書課,,,,,有,,
222127,0000000031,静岡県,焼津市,ターントクルこども館,ターントクルコドモカン,静岡県焼津市栄町5-1-1,,34.868517,138.320841,１階受付,(054)631-6165,,,子育て支援課,,,,,有,,
222127,0000000032,静岡県,焼津市,ターントクルこども館,ターントクルコドモカン,静岡県焼津市栄町5-1-1,,34.868517,138.320841,２階木のおおうなばら,(054)631-6165,,,子育て支援課,,,,,有,,
222127,0000000033,静岡県,焼津市,ターントクルこども館,ターントクルコドモカン,静岡県焼津市栄町5-1-1,,34.868517,138.320841,３階おもちゃこうぼう,(054)631-6165,,,子育て支援課,,,,,有,,
222127,0000100001,静岡県,焼津市,二区コミュニティ防災センター,ニクコミュニティボウサイセンター,静岡県焼津市本町5-9-1,,34.861486,138.321491,１F受付事務室内,(054)623-2554,,,地域防災課,,,,,有,,
222127,0000100002,静岡県,焼津市,利右衛門地区コミュニティ防災センター,リエモンチクコミュニティボウサイセンター,静岡県焼津市利右衛門2559-2,,34.786977,138.300285,入口付近,(054)623-2554,,,地域防災課,,,,,有,,
222127,0000100003,静岡県,焼津市,浜当目コミュニティ防災センター,ハマトウメコミュニティボウサイセンター,静岡県焼津市浜当目3-1-45,,34.878969,138.331251,１F玄関下駄箱付近,(054)623-2554,,,地域防災課,,,,,有,,
222127,0000100004,静岡県,焼津市,新屋コミュニティ防災センター,アラヤコミュニティボウサイセンター,静岡県焼津市本町1-3-28,,34.868402,138.322184,１F展示室入口付近,(054)623-2554,,,地域防災課,,,,,有,,
222127,0000100005,静岡県,焼津市,吉永地区コミュニティ防災センター,ヨシナガチクコミュニティボウサイセンター,静岡県焼津市吉永1933-1,,34.791222,138.304255,2F階段付近,(054)623-2554,,,地域防災課,,,,,有,,
222127,0000100006,静岡県,焼津市,石津コミュニティ防災センター,イシヅコミュニティボウサイセンター,静岡県焼津市石津1223-1,,34.842865,138.316179,2F避難者収容室内,(054)623-2554,,,地域防災課,,,,,有,,
222127,0000100007,静岡県,焼津市,高新田地区コミュニティ防災センター,タカシンデンチクコミュニティボウサイセンター,静岡県焼津市高新田1853-1,,34.794162,138.307018,玄関(外側),(054)623-2554,,,地域防災課,,,,,有,,
222127,0000100008,静岡県,焼津市,坂本コミュニティ防災センター,サカモトコミュニティボウサイセンター,静岡県焼津市坂本971-5,,34.892378,138.311428,入口付近,(054)623-2554,,,地域防災課,,,,,有,,
222127,0000100009,静岡県,焼津市,高新田東地区コミュニティ防災センター,タカシンデンヒガシチクコミュニティボウサイセンター,静岡県焼津市高新田2172-2,,34.799799,138.309101,入口付近,(054)623-2554,,,地域防災課,,,,,有,,
222127,0000100010,静岡県,焼津市,三区コミュニティ防災センター,サンクコミュニティボウサイセンター,静岡県焼津市本町2-13-18,,34.865947,138.323232,１F展示室入口付近,(054)623-2554,,,地域防災課,,,,,有,,
222127,0000100011,静岡県,焼津市,小川第１３コミュニティ防災センター,コガワダイジュウサンコミュニティボウサイセンター,静岡県焼津市小川3118,,34.851264,138.320045,1F階段付近,(054)623-2554,,,地域防災課,,,,,有,,
222127,0000100012,静岡県,焼津市,藤守地区コミュニティ防災センター,フジモリチクコミュニティボウサイセンター,静岡県焼津市藤守2025,,34.808218,138.317763,入口付近,(054)623-2554,,,地域防災課,,,,,有,,
222127,0000100013,静岡県,焼津市,下小杉地区コミュニティ防災センター,シモコスギチクコミュニティボウサイセンター,静岡県焼津市下小杉537,,34.812736,138.315582,入口付近,(054)623-2554,,,地域防災課,,,,,有,,
222127,0000100014,静岡県,焼津市,四区コミュニティ防災センター,ヨンクコミュニティボウサイセンター,静岡県焼津市焼津6-10-17,,34.865557,138.316966,入口付近,(054)623-2554,,,地域防災課,,,,,有,,
222127,0000100015,静岡県,焼津市,第５コミュニティ防災センター,ダイゴコミュニティボウサイセンター,静岡県焼津市駅北5-1-24,,34.875191,138.320387,入口付近,(054)623-2554,,,地域防災課,,,,,有,,
222127,0000100016,静岡県,焼津市,元小浜集会所,オバマシュウカイジョ,静岡県焼津市小浜1012-1,,34.89608,138.345732,１F,(054)623-2554,,,地域防災課,,,,,有,,
222127,0000100017,静岡県,焼津市,小川新地コミュニティ防災センター,コガワシンチコミュニティボウサイセンター,静岡県焼津市小川新町1-11-2,,34.858643,138.321555,入口付近,(054)623-2554,,,地域防災課,,,,,有,,
222127,0000200001,静岡県,焼津市,焼津市立大富幼稚園,ヤイヅシリツオオトミヨウチエン,静岡県焼津市中根新田638,,34.833726,138.293823,正面玄関付近,(054)626-2772,,,保育・幼稚園課,,,,,有,,
222127,0000200003,静岡県,焼津市,焼津市立さつき幼稚園,ヤイヅシリツサツキヨウチエン,静岡県焼津市大覚寺3-5-1,,34.87347,138.300759,職員室内,(054)626-2772,,,保育・幼稚園課,,,,,有,,
222127,0000200004,静岡県,焼津市,焼津市立大井川南幼稚園,ヤイヅシリツオオイガワミナミヨウチエン,静岡県焼津市吉永334-2,,34.79602,138.290224,玄関付近,(054)626-2772,,,保育・幼稚園課,,,,,有,,
222127,0000200005,静岡県,焼津市,焼津市立大井川西幼稚園,ヤイヅシリツオオイガワニシヨウチエン,静岡県焼津市下江留2300-1,,34.814659,138.266378,職員室棟玄関付近,(054)626-2772,,,保育・幼稚園課,,,,,有,,
222127,0000200006,静岡県,焼津市,焼津市立静浜幼稚園,ヤイヅシリツシズハマヨウチエン,静岡県焼津市宗高88  ,,34.813786,138.28404,玄関付近,(054)626-2772,,,保育・幼稚園課,,,,,有,,
222127,0000200007,静岡県,焼津市,焼津市立静浜幼稚園下藤分園,ヤイヅシリツシズハマヨウチエンシモフジブンエン,静岡県焼津市下小杉1361,,34.810879,138.307128,職員室内,(054)626-2772,,,保育・幼稚園課,,,,,有,,
222127,0000200008,静岡県,焼津市,焼津市立旭町保育園,ヤイヅシリツアサヒチョウホイクエン,静岡県焼津市駅北3-17-10,,34.876385,138.313924,職員室前廊下付近,(054)626-2772,,,保育・幼稚園課,,,,,有,,
222127,0000200009,静岡県,焼津市,焼津市立小川保育園,ヤイヅシリツコガワホイクエン,静岡県焼津市東小川4-21-11,,34.85281,138.313567,正面玄関ホール付近,(054)626-2772,,,保育・幼稚園課,,,,,有,,
222127,0000200010,静岡県,焼津市,焼津市立石津保育園,ヤイヅシリツイシヅホイクエン,静岡県焼津市石津中町16-7,,34.8414523,138.324597,職員室内,(054)626-2772,,,保育・幼稚園課,,,,,有,,
222127,0000200011,静岡県,焼津市,焼津市立大井川保育園,ヤイヅシリツオオイガワホイクエン,静岡県焼津市下江留41  ,,34.801729,138.284259,玄関付近,(054)626-2772,,,保育・幼稚園課,,,,,有,,
222127,0000300001,静岡県,焼津市,焼津市立焼津東小学校,ヤイヅシリツヒガシショウガッコウ,静岡県焼津市栄町5-14-1,,34.867948,138.318086,１階　保健室前,(054)625-8156,,,教育総務課,,,,,有,,
222127,0000300002,静岡県,焼津市,焼津市立焼津西小学校,ヤイヅシリツニシショウガッコウ,静岡県焼津市塩津117-1,,34.866007,138.310021,１階保健室内,(054)625-8156,,,教育総務課,,,,,有,,
222127,0000300003,静岡県,焼津市,焼津市立焼津南小学校,ヤイヅシリツミナミショウガッコウ,静岡県焼津市焼津5-5-1,,34.860989,138.3174,１階　玄関事務室前,(054)625-8156,,,教育総務課,,,,,有,,
222127,0000300004,静岡県,焼津市,焼津市立豊田小学校,ヤイヅシリツトヨダショウガッコウ,静岡県焼津市五ヶ堀之内2,,34.863542,138.290448,１階　児童昇降口,(054)625-8156,,,教育総務課,,,,,有,,
222127,0000300005,静岡県,焼津市,焼津市立小川小学校,ヤイヅシリツコガワショウガッコウ,静岡県焼津市南小川2-3-5,,34.849825,138.316116,１階　体育館入口,(054)625-8156,,,教育総務課,,,,,有,,
222127,0000300006,静岡県,焼津市,焼津市立東益津小学校,ヤイヅシリツヒガシマシヅショウガッコウ,静岡県焼津市石脇上65,,34.886635,138.319812,１階　保健室内,(054)625-8156,,,教育総務課,,,,,有,,
222127,0000300007,静岡県,焼津市,焼津市立大富小学校,ヤイヅシリツオオトミショウガッコウ,静岡県焼津市中根新田637,,34.83414,138.294647,１階　保健室前,(054)625-8156,,,教育総務課,,,,,有,,
222127,0000300008,静岡県,焼津市,焼津市立和田小学校,ヤイヅシリツワダショウガッコウ,静岡県焼津市田尻541,,34.827566,138.320983,１階　体育館トイレ前,(054)625-8156,,,教育総務課,,,,,有,,
222127,0000300009,静岡県,焼津市,焼津市立港小学校,ヤイヅシリツミナトショウガッコウ,静岡県焼津市石津港町40-2,,34.840782,138.327329,１階　保健室前,(054)625-8156,,,教育総務課,,,,,有,,
222127,0000300010,静岡県,焼津市,焼津市立黒石小学校,ヤイヅシリツクロイシショウガッコウ,静岡県焼津市大住1246,,34.850763,138.300659,１階玄関事務室前,(054)625-8156,,,教育総務課,,,,,有,,
222127,0000300011,静岡県,焼津市,焼津市立大井川東小学校,ヤイヅシリツオオイガワヒガシショウガッコウ,静岡県焼津市宗高428,,34.807659,138.293027,１階　体育館フロア前,(054)625-8156,,,教育総務課,,,,,有,,
222127,0000300012,静岡県,焼津市,焼津市立大井川西小学校,ヤイヅシリツオオイガワニシショウガッコウ,静岡県焼津市上泉1688-1,,34.814747,138.264675,１階　体育館ステージ左側倉庫,(054)625-8156,,,教育総務課,,,,,有,,
222127,0000300014,静岡県,焼津市,焼津市立大井川南小学校,ヤイヅシリツオオイガワミナミショウガッコウ,静岡県焼津市吉永490,,34.794534,138.294778,１階　体育館,(054)625-8156,,,教育総務課,,,,,有,,
222127,0000300015,静岡県,焼津市,焼津市立焼津中学校,ヤイヅシリツヤイヅチュウガッコウ,静岡県焼津市焼津2-10-28,,34.864904,138.312027,２階　来客用昇降口,(054)625-8156,,,教育総務課,,,,,有,,
222127,0000300017,静岡県,焼津市,焼津市立大村中学校,ヤイヅシリツオオムラチュウガッコウ,静岡県焼津市大村3-25-1,,34.871831,138.304543,１階　保健室内入口,(054)625-8156,,,教育総務課,,,,,有,,
222127,0000300018,静岡県,焼津市,焼津市立豊田中学校,ヤイヅシリツトヨダチュウガッコウ,静岡県焼津市小土301-2,,34.868084,138.293239,１階　保健室内,(054)625-8156,,,教育総務課,,,,,有,,
222127,0000300019,静岡県,焼津市,焼津市立小川中学校,ヤイヅシリツコガワチュウガッコウ,静岡県焼津市東小川4-21-1,,34.85307,138.31347,１階　職員室前,(054)625-8156,,,教育総務課,,,,,有,,
222127,0000300020,静岡県,焼津市,焼津市立東益津中学校,ヤイヅシリツヒガシマシヅチュウガッコウ,静岡県焼津市中里416,,34.885208,138.318943,２階　職員・来客玄関内,(054)625-8156,,,教育総務課,,,,,有,,
222127,0000300021,静岡県,焼津市,焼津市立大富中学校,ヤイヅシリツオオトミチュウガッコウ,静岡県焼津市中根1-1,,34.839305,138.298341,１階　保健室前廊下,(054)625-8156,,,教育総務課,,,,,有,,
222127,0000300023,静岡県,焼津市,焼津市立和田中学校,ヤイヅシリツワダチュウガッコウ,静岡県焼津市田尻1984,,34.826462,138.320871,１階玄関事務室前,(054)625-8156,,,教育総務課,,,,,有,,
222127,0000300024,静岡県,焼津市,焼津市立港中学校,ヤイヅシリツミナトチュウガッコウ,静岡県焼津市田尻北584,,34.838391,138.330099,１階　保健室前廊下,(054)625-8156,,,教育総務課,,,,,有,,
222127,0000300025,静岡県,焼津市,焼津市立大井川中学校,ヤイヅシリツオオイガワチュウガッコウ,静岡県焼津市下江留191,,34.801138,138.281576,１階　事務室前,(054)625-8156,,,教育総務課,,,,,有,,
