運営主体,施設名,施設名カナ,住所,緯度,経度,開始時刻平日,終了時刻平日,開始時刻土曜日,終了時刻土曜日,開始時刻学校休日,終了時刻学校休日,電話番号,FAX番号,対象,定員,活動内容,特徴,備考
(株)リカバリー,リカバリーくすくす,リカバリークスクス,静岡県焼津市八楠1丁目11-14,34.88339,138.306136,15:00,18:00,09:30,16:30,09:30,16:30,054-639-7480,,受給者証を交付された小学１年生～高校３年生までの児童,10,日常生活における基本的動作を習得し、集団活動に対応出来るよう、適した活動を行う（音楽活動、工作活動、買い物体験など）,送迎サービス有り;学校→事業所（平日）;ご自宅→事業所（土、長期;休暇中）;事業所→ご自宅,土曜日は隔週。利用について、事前に相談が必要。
(株)リカバリー,リカバリー焼津本町,リカバリーヤイヅホンマチ,静岡県焼津市本町2丁目3-18,34.867653,138.320844,15:00,18:00,09:30,16:30,09:30,16:30,054-639-7317,,受給者証を交付された小学１年生～高校３年生までの児童,10,日常生活における基本的動作を習得し、集団活動に対応出来るよう、適した活動を行う（音楽活動、工作活動、買い物体験など）,送迎サービス有り;学校→事業所（平日）;ご自宅→事業所（土、長期;休暇中）;事業所→ご自宅,土曜日は隔週。利用について、事前に相談が必要。
社会福祉法人 焼津福祉会,色えんぴつ,イロエンピツ,静岡県焼津市三ケ名1058-1,34.860167,138.305234,14:00,18:00,09:00,16:00,09:00,16:00,054-627-2571,054-626-2871,受給者証を交付された小学１年生～高校３年生までの児童,10,・日常生活支援;・余暇支援;（音楽・製作活動・外あそび）;（買い物等の社会体験の場を広げる）;・あそびを通して友達との交流を深めていく,送迎サービス有り;特別支援学校は毎日;特別支援学級は曜日指定有,土曜日の利用は月1回。平日の利用について、学校短縮期は11:30より利用可能。
(株)リカバリー,リカバリー大住,リカバリーオオズミ,静岡県焼津市大住1056,34.845897,138.291006,15:00,18:00,09:30,16:30,09:30,16:30,054-656-0007,,受給者証を交付された小学１年生～高校３年生までの児童,10,日常生活における基本的動作を習得し、集団活動に対応出来るよう、適した活動を行う（音楽活動、工作活動、買い物体験など）,送迎サービス有り;学校→事業所（平日）;ご自宅→事業所（土、長期;休暇中）;事業所→ご自宅,土曜日は隔週。利用について、事前に相談が必要。
社会福祉法人 焼津福祉会,くれよん,クレヨン,静岡県焼津市宗高426-4,34.807142,138.292036,14:00,18:00,09:00,16:00,09:00,16:00,054-662-0102,054-662-0102,受給者証を交付された小学１年生～高校３年生までの児童,10,・日常生活支援;・余暇支援;（音楽・製作活動・外あそび）;（買い物等の社会体験の場を広げる）;・あそびを通して友達との交流を深めていく,送迎サービス有り;特別支援学校は毎日;特別支援学級は曜日指定有,土曜日の利用は月1回。平日の利用について、学校短縮期は11:30より利用可能。
ポップ(株),多機能型放課後等デイサービス てん おおいがわ,タキノウガタホウカゴトウデイサービステンオオイガワ,静岡県焼津市下江留313,34.802113,138.281123,14:00,18:00,,,09:00,16:00,054-639-9553,054-631-7930,受給者証を交付された小学１年生～高校３年生までの児童,10,・宿題、公園遊び、買い物体験、個別活動、おやつ、行事等;１人ひとりに合わせた遊びや活動を行います。,送迎サービス有り;月～金 14:00～18:00;長期休暇 9:00～16:00;休日：土日祝,夏期休暇期間は9:00～16:00まで利用可能
(株)リカバリー,リカバリー西焼津,リカバリーニシヤイヅ,静岡県焼津市小柳津213-1,34.853864,138.283291,15:00,18:00,09:30,16:30,09:30,16:30,054-639-5490,,受給者証を交付された小学１年生～高校３年生までの児童,10,日常生活における基本的動作を習得し、集団活動に対応出来るよう、適した活動を行う（音楽活動、工作活動、買い物体験など）,送迎サービス有り;学校→事業所（平日）;ご自宅→事業所（土、長期;休暇中）;事業所→ご自宅,土曜日は隔週。利用について、事前に相談が必要。
ポップ(株),放課後等デイサービス てん おおとみ,ホウカゴトウデイサービステンオオトミ,静岡県焼津市中新田1190-2,34.83061,138.29086,14:00,18:00,,,09:00,16:00,054-639-9585,,受給者証を交付された小学１年生～高校３年生までの児童,10,・宿題、公園遊び、買い物体験、個別活動、おやつ、行事等;１人ひとりに合わせた遊びや活動を行います。,送迎サービス有り;月～金 14:00～18:00;長期休暇 9:00～16:00;休日：土日祝,夏期休暇期間は9:00～16:00まで利用可能
NPO法人 静岡家庭教育サポート協会,こどもデイサービス ウルル,コドモデイサービスウルル,静岡県焼津市柳新屋878,34.858401,138.289011,14:00,18:00,14:00,18:00,09:00,16:00,054-639-5578,054-639-5584,受給者証を交付された小学１年生～高校３年生までの児童,10,困難を抱えるこども・若者の支援事業を母体として、児童や家族の支援をする;個々の児童の特性を生かし、芸術面や運動面のサポートに力を入れる;地域との交流を積極的に勧め、周りの人々とのきずなを大切にする,送迎サービス有り;平日 14:00～18:00;長期休暇　9:00～16:00,片道30分までは送迎あり。土曜日は第1、第3のみ利用可能
(株)メープル,La chouchou,ラシュシュ,静岡県焼津市利右衛門519,34.789694,138.287144,14:00,18:00,09:00,16:00,09:00,16:00,054-625-8222,054-625-8223,受給者証を交付された小学１年生～高校３年生までの児童,10,農業体験・食事作り・運動・音楽を通じて一人ひとりにあった個別、集団活動を実施し、感性や創造性を育みます。;友達と一緒に活動することで集団意識を高め、ルールを学びコミュニケーション能力を育みます。,送迎サービス有り;月～金 14:00～18:00;土曜・学校休業日 9:00～16:00　;学校行事に対応。タイムケアあり。,
FLAT8(株),ハッピーテラス焼津教室,ハッピーテラスヤイヅキョウシツ,静岡県焼津市西小川1丁目11-6,34.861259,138.309183,13:30,19:30,09:00,17:00,09:00,17:00,054-625-8880,,受給者証を交付された小学１年生～高校３年生までの児童,10,コミュニケーション力を高めていくカリキュラムは、グループワークで行う社会性スキル・生活スキル・学習スキル・身体スキルといったトレーニングがあります。お子さまにあった最適な支援計画を作成しご提供します。,送迎なし;平日 13：00～19：30;土曜・長期休暇 9：00～17：00;休日：日祝,利用時間について、学校終了時より利用可能となるため、平日については、13:30～15:00の間で変動する。
(有)池ちゃん家・ドリームケア,慧とう館ガジュマル放課後デイ,エトウカンガジュマルホウカゴデイ,静岡県焼津市小柳津638-4,34.853357,138.289953,14:00,18:00,,,09:30,16:00,054-625-9810,,受給者証を交付された小学１年生～高校３年生までの児童,5,「家庭での入浴が大変になってきた」というご家族の声をもとに、入浴を実施し、清潔保持・心身リフレッシュ・介護負担の軽減を図ります。理学療法士の介入による機能維持や、看護師の身体チェック、支援員によるマッサージを行っています。,送迎あり;平日 14：00～18：00;長期休暇 9：30～16：00,
(有)スターワールド,スタジオプレアデス,スタジオプレアデス,静岡県焼津市本町１-２-４　,34.86931,138.32193,13:00,18:00,09:30,17:30,09:30,17:30,054-631-9850,,受給者証を交付された小学１年生～高校３年生までの児童,10,・支援目標を明確にした個別支援計画の策定と実施。・様々な活動を通した社会性の向上。・パソコンやお絵かき、工作などを通した創造性の向上。;・療育相談,送迎サービス有り;土曜、祝日営業。学校行事に対応。,
(株)富士山ドリームビレッジ,ビレッジキッズやいづ,ビレッジキッズヤイヅ,静岡県焼津市下小田中町9-4,34.83915,138.32096,09:00,18:00,09:00,18:00,09:00,18:00,054-625-8707,,受給者証を交付された小学１年生～高校３年生までの児童,10,宿題や余暇支援の他に、こどもたちが卒業後に就職すること・福祉事業所へ通うことを見据え、作業体験などを盛り込んだプログラムを行っています。,送迎サービス有り;毎週土曜日・長期休暇;;休日：日祝・お盆・年末年始,
(株)めだかのがっこうホールディングス,めだかの学校　焼津校,メダカノガッコウヤイヅコウ,静岡県焼津市本町４丁目7-15,34.86436,138.32181,13:00,18:00,09:00,17:00,09:00,17:00,054-270-7815,,受給者証を交付された小学１年生～高校３年生までの児童,10,完全１対１の個別指導型デイサービスです。お子さんの学力に合わせた指導を行います。又、お子さんが自信を持って学校生活を送れるようなSSTを取り入れ、質の高い施設運営を行います。,送迎サービス有り;平日 13時～18時;学休日 9時～17時;休日：日曜・お盆・年末年始,
